Circular 	Gene
hsa_circ_0002901	SLC4A7
hsa_circ_0033037	BTBD7
hsa_circ_0027851	UHRF1BP1L
hsa_circ_0058068	ATIC
hsa_circ_0033595	PACS2
hsa_circ_0081944	LAMB1
hsa_circ_0087621	SLC35D2
hsa_circ_0060295	SRC
hsa_circ_0007326	CHMP4A
hsa_circ_0067074	ITGB5
hsa_circ_0018525	DNA2
hsa_circ_0088012	KIAA0368
hsa_circ_0030754	PCCA
hsa_circ_0019921	COL17A1
hsa_circ_0089778	None
hsa_circ_0057635	SF3B1
hsa_circ_0033466	CDC42BPB
hsa_circ_0028871	PXN
hsa_circ_0088775	TRUB2
hsa_circ_0033952	None
hsa_circ_0034842	STARD9
hsa_circ_0080416	AUTS2
hsa_circ_0023207	LRP5
hsa_circ_0004483	GINS1
hsa_circ_0014039	GOLPH3L
hsa_circ_0089199	PRRC2B
hsa_circ_0028084	SSH1
hsa_circ_0063886	TUBGCP6
hsa_circ_0075784	KDM1B
hsa_circ_0070018	SDAD1
hsa_circ_0013534	CAPZA1
hsa_circ_0021778	TTC17
hsa_circ_0010410	TMCO4
hsa_circ_0019106	TNKS2
hsa_circ_0010262	UBR4
hsa_circ_0081920	LAMB1
hsa_circ_0091974	FLNA
hsa_circ_0003201	TBC1D14
hsa_circ_0045565	NAT9
hsa_circ_0047499	PIK3C3
hsa_circ_0039040	ITGAL
hsa_circ_0068418	TRA2B
hsa_circ_0026093	MLL2
hsa_circ_0025296	PTPN6
hsa_circ_0013391	GPSM2
hsa_circ_0068829	FGFRL1
hsa_circ_0033881	ADAM6
hsa_circ_0018911	VDAC2
hsa_circ_0086490	MLLT3
hsa_circ_0012464	OSBPL9
hsa_circ_0078634	PDE10A
hsa_circ_0078266	MTHFD1L
hsa_circ_0019340	PGAM1
hsa_circ_0013902	PIAS3
hsa_circ_0015121	DCAF6
hsa_circ_0076532	YIPF3
hsa_circ_0019154	IDE
hsa_circ_0087056	ZCCHC7
hsa_circ_0042766	TAOK1
hsa_circ_0064415	HDAC11
hsa_circ_0086324	KDM4C
hsa_circ_0049031	FBN3
hsa_circ_0014034	MCL1
hsa_circ_0046636	KIAA1267
hsa_circ_0079305	CCZ1
hsa_circ_0077622	CDK19
hsa_circ_0064420	TMEM43
hsa_circ_0070817	PRDM5
hsa_circ_0035235	TRPM7
hsa_circ_0087590	C9orf3
hsa_circ_0034801	TMEM87A
hsa_circ_0038936	MAZ
hsa_circ_0090120	EIF2S3
hsa_circ_0071004	TBC1D9
hsa_circ_0047693	ME2
hsa_circ_0005134	MLL3
hsa_circ_0090872	MTMR8
hsa_circ_0066487	SUCLG2
hsa_circ_0024304	NCAM1
hsa_circ_0006024	FAM172A
hsa_circ_0053748	BIRC6
hsa_circ_0087261	GNA14
hsa_circ_0059399	MCM8
hsa_circ_0010431	KIF17
hsa_circ_0055665	SNRNP200
hsa_circ_0012635	TMEM59
hsa_circ_0061149	YTHDF1
hsa_circ_0052112	ZNF83
hsa_circ_0011477	PHC2
hsa_circ_0011946	SCMH1
hsa_circ_0012117	IPO13
hsa_circ_0079091	ADAP1
hsa_circ_0043337	ARHGAP23
hsa_circ_0088236	PAPPA
hsa_circ_0037693	GLIS2
hsa_circ_0001829	TCONS_00015535
hsa_circ_0083556	XPO7
hsa_circ_0090020	MAP3K15
hsa_circ_0040176	AARS
hsa_circ_0082864	ZNF783
hsa_circ_0027306	ARHGEF25
hsa_circ_0039118	BCL7C
hsa_circ_0043990	DHX8
hsa_circ_0083814	INTS9
hsa_circ_0070546	UBE2D3
hsa_circ_0037032	IGF1R
hsa_circ_0009550	VAMP3
hsa_circ_0067268	COPG
hsa_circ_0024887	ADAMTS8
hsa_circ_0003247	ASH1L
hsa_circ_0005721	TEP1
hsa_circ_0072545	GPBP1
hsa_circ_0074533	RPS14
hsa_circ_0087655	BDAG1
hsa_circ_0057254	DNAJC10
hsa_circ_0023701	RSF1
hsa_circ_0046597	B3GNTL1
hsa_circ_0036916	PRC1
hsa_circ_0069557	APBB2
hsa_circ_0084318	PRKDC
hsa_circ_0045814	CYGB
hsa_circ_0008367	IARS
hsa_circ_0080913	HGF
hsa_circ_0014611	DAP3
hsa_circ_0004205	RBM26
hsa_circ_0049599	HOOK2
hsa_circ_0017728	DHTKD1
hsa_circ_0012288	MAST2
hsa_circ_0045349	AXIN2
hsa_circ_0022574	SLC3A2
hsa_circ_0087151	FAM189A2
hsa_circ_0067674	SLC9A9
hsa_circ_0042820	SSH2
hsa_circ_0027790	NTN4
hsa_circ_0087017	RNF38
hsa_circ_0068076	ZNF639
hsa_circ_0074066	KLHL3
hsa_circ_0078805	None
hsa_circ_0060134	RBM39
hsa_circ_0043290	TADA2A
hsa_circ_0011023	ZDHHC18
hsa_circ_0009183	TCONS_l2_00002391
hsa_circ_0002932	MLL3
hsa_circ_0073191	RASGRF2
hsa_circ_0090455	UXT
hsa_circ_0057311	ITGAV
hsa_circ_0034735	MGA
hsa_circ_0040880	PIEZO1
hsa_circ_0003597	HSDL2
hsa_circ_0004375	GAS6
hsa_circ_0022454	MTA2
hsa_circ_0020449	DOCK1
hsa_circ_0031725	SEC23A
hsa_circ_0028309	MAPKAPK5
hsa_circ_0015646	TSEN15
hsa_circ_0074676	G3BP1
hsa_circ_0048051	SHC2
hsa_circ_0077481	ASCC3
hsa_circ_0077184	IBTK
hsa_circ_0068527	OPA1
hsa_circ_0006886	FAM192A
hsa_circ_0048194	SBNO2
hsa_circ_0035880	CLPX
hsa_circ_0071754	NSUN2
hsa_circ_0057282	NCKAP1
hsa_circ_0034517	THBS1
hsa_circ_0030141	AKAP11
hsa_circ_0084611	ASPH
hsa_circ_0070051	SHROOM3
hsa_circ_0088343	GSN
hsa_circ_0084618	YTHDF3
hsa_circ_0051748	GRIN2D
hsa_circ_0066135	ITIH3
hsa_circ_0020288	TCONS_l2_00004049
hsa_circ_0044283	KPNB1
hsa_circ_0054863	XPO1
hsa_circ_0061943	PWP2
hsa_circ_0082035	C7orf58
hsa_circ_0037553	PDPK1
hsa_circ_0032566	LTBP2
hsa_circ_0066270	SLMAP
hsa_circ_0020400	DOCK1
hsa_circ_0045150	MRC2
hsa_circ_0091803	HCFC1
hsa_circ_0091691	CD99L2
hsa_circ_0063325	DDX17
hsa_circ_0089493	CAMSAP1
hsa_circ_0076702	TNFRSF21
hsa_circ_0054009	CRIM1
hsa_circ_0048934	VAV1
hsa_circ_0019292	TM9SF3
hsa_circ_0083741	PPP2R2A
hsa_circ_0052575	TAF1B
hsa_circ_0062112	DIP2A
hsa_circ_0062062	LSS
hsa_circ_0019338	RRP12
hsa_circ_0084169	FNTA
hsa_circ_0050265	ATP13A1
hsa_circ_0052814	OSR1
hsa_circ_0021790	ALKBH3
hsa_circ_0074383	YIPF5
hsa_circ_0047330	CDH2
hsa_circ_0017274	HNRNPU
hsa_circ_0089396	VAV2
hsa_circ_0009104	TMX1
hsa_circ_0063209	GGA1
hsa_circ_0036267	CCDC33
hsa_circ_0036728	C15orf42
hsa_circ_0021797	EXT2
hsa_circ_0011175	EPB41
hsa_circ_0036016	AAGAB
hsa_circ_0012064	SZT2
hsa_circ_0073703	CEP120
hsa_circ_0037762	GLYR1
hsa_circ_0019851	PDCD11
hsa_circ_0026150	SPATS2
hsa_circ_0030046	SLC25A15
hsa_circ_0002341	FN1
hsa_circ_0053513	BIRC6
hsa_circ_0063587	XRCC6
hsa_circ_0055588	MRPS5
hsa_circ_0000791	MPO
hsa_circ_0041663	KIF1C
hsa_circ_0048173	POLR2E
hsa_circ_0068029	TCONS_00006315
hsa_circ_0058571	TRIP12
hsa_circ_0026560	SOAT2
hsa_circ_0081752	DNAJC2
hsa_circ_0073512	PPIP5K2
hsa_circ_0077377	MDN1
hsa_circ_0075137	UIMC1
hsa_circ_0046741	SMCHD1
hsa_circ_0022767	C11orf2
hsa_circ_0006170	DROSHA
hsa_circ_0001987	GNL2
hsa_circ_0045254	SMARCD2
hsa_circ_0031302	AP1G2
hsa_circ_0055116	TIA1
hsa_circ_0008469	ARSB
hsa_circ_0061451	URB1
hsa_circ_0050238	GATAD2A
hsa_circ_0010505	ECE1
hsa_circ_0085079	VPS13B
hsa_circ_0062940	DEPDC5
hsa_circ_0001228	MFNG
hsa_circ_0032783	AHSA1
hsa_circ_0080448	POM121
hsa_circ_0016132	PLEKHA6
hsa_circ_0071445	GALNT7
hsa_circ_0031829	SOS2
hsa_circ_0071558	SNX25
hsa_circ_0080815	POMZP3
hsa_circ_0057625	ANKRD44
hsa_circ_0073772	SLC12A2
hsa_circ_0052102	ZNF528
hsa_circ_0059634	ENTPD6
hsa_circ_0059066	SEPT2
hsa_circ_0022662	VEGFB
hsa_circ_0001443	MAML3
hsa_circ_0018125	KIF5B
hsa_circ_0066434	ATXN7
hsa_circ_0055987	RANBP2
hsa_circ_0051876	PIH1D1
hsa_circ_0065439	COL7A1
hsa_circ_0005633	YME1L1
hsa_circ_0020610	SIRT3
hsa_circ_0036336	MAN2C1
hsa_circ_0011067	WASF2
hsa_circ_0087838	FSD1L
hsa_circ_0082107	SND1
hsa_circ_0075453	TCONS_00011148
hsa_circ_0002546	MSRA
hsa_circ_0051266	POU2F2
hsa_circ_0058670	NCL
hsa_circ_0053878	TTC27
hsa_circ_0030564	GPR180
hsa_circ_0018745	DNAJB12
hsa_circ_0056188	ACTR3
hsa_circ_0000610	VPS13C
hsa_circ_0054203	MAP4K3
hsa_circ_0058815	COL6A3
hsa_circ_0041186	ABR
hsa_circ_0091515	ELF4
hsa_circ_0079940	CDK13
hsa_circ_0083233	WDR60
hsa_circ_0021924	CKAP5
hsa_circ_0009548	VAMP3
hsa_circ_0089010	SH3GLB2
hsa_circ_0044930	USP32
hsa_circ_0066415	PTPRG
hsa_circ_0026982	CS
hsa_circ_0075825	LINC00340
hsa_circ_0021759	TRAF6
hsa_circ_0076164	SRPK1
hsa_circ_0072244	NUP155
hsa_circ_0086219	KIAA0020
hsa_circ_0002762	CDK17
hsa_circ_0091439	THOC2
hsa_circ_0000957	PPP1R12C
hsa_circ_0052782	NBAS
hsa_circ_0086716	UBAP2
hsa_circ_0013980	BOLA1
hsa_circ_0023728	INTS4
hsa_circ_0089912	FANCB
hsa_circ_0081511	GIGYF1
hsa_circ_0076321	CCND3
hsa_circ_0014973	UFC1
hsa_circ_0045992	SGSH
hsa_circ_0056381	SAP130
hsa_circ_0050830	RYR1
hsa_circ_0026849	ESYT1
hsa_circ_0056532	MGAT5
hsa_circ_0028019	POLR3B
hsa_circ_0090665	HUWE1
hsa_circ_0049639	CALR
hsa_circ_0031967	FERMT2
hsa_circ_0057500	TMEM194B
hsa_circ_0047490	PIK3C3
hsa_circ_0078733	WDR27
hsa_circ_0042876	RNF135
hsa_circ_0064528	RFTN1
hsa_circ_0011052	WDTC1
hsa_circ_0023769	ALG8
hsa_circ_0017162	MTR
hsa_circ_0078578	IGF2R
hsa_circ_0016721	PSEN2
hsa_circ_0086000	None
hsa_circ_0002971	SNX9
hsa_circ_0071185	LRBA
hsa_circ_0006265	CAMSAP2
hsa_circ_0081104	COL1A2
hsa_circ_0032471	SIPA1L1
hsa_circ_0043453	CDK12
hsa_circ_0090991	ZMYM3
hsa_circ_0028514	PLBD2
hsa_circ_0068047	TBL1XR1
hsa_circ_0049289	SLC44A2
hsa_circ_0047313	SS18
hsa_circ_0026751	ITGA5
hsa_circ_0013441	SORT1
hsa_circ_0042978	SUZ12
hsa_circ_0011141	PHACTR4
hsa_circ_0055465	POLR1A
hsa_circ_0049494	None
hsa_circ_0041928	SENP3-EIF4A1
hsa_circ_0090680	HUWE1
hsa_circ_0054493	FBXO11
hsa_circ_0005248	LAMC1
hsa_circ_0085832	RHPN1
hsa_circ_0082877	SSPO
hsa_circ_0064223	FANCD2
hsa_circ_0018449	RHOBTB1
hsa_circ_0013173	EVI5
hsa_circ_0026572	ITGB7
hsa_circ_0085749	PTK2
hsa_circ_0075334	TBC1D9B
hsa_circ_0029055	VPS33A
hsa_circ_0021930	CKAP5
hsa_circ_0017090	LYST
hsa_circ_0077995	TNFAIP3
hsa_circ_0040755	MTHFSD
hsa_circ_0064401	NUP210
hsa_circ_0039405	FTO
hsa_circ_0020952	RRM1
hsa_circ_0014735	RHBG
hsa_circ_0081050	CCDC132
hsa_circ_0038798	XPO6
hsa_circ_0072063	DROSHA
hsa_circ_0069095	KIAA0232
hsa_circ_0086503	KIAA1797
hsa_circ_0013924	GPR89A
hsa_circ_0066901	GSK3B
hsa_circ_0040428	ZFHX3
hsa_circ_0081624	CUX1
hsa_circ_0041950	DNAH2
hsa_circ_0032639	MLH3
hsa_circ_0077942	PDE7B
hsa_circ_0072788	RAD17
hsa_circ_0071822	LOC100505806
hsa_circ_0069418	TBC1D1
hsa_circ_0062238	HIRA
hsa_circ_0068454	AHSG
hsa_circ_0077642	REV3L
hsa_circ_0063080	MYH9
hsa_circ_0064125	SETD5
hsa_circ_0042798	SSH2
hsa_circ_0020696	TALDO1
hsa_circ_0024816	SRPR
hsa_circ_0078025	REPS1
hsa_circ_0009567	RERE
hsa_circ_0078959	None
hsa_circ_0078552	ACAT2
hsa_circ_0036226	ARIH1
hsa_circ_0092229	PRKY
hsa_circ_0046718	SMCHD1
hsa_circ_0061217	PRPF6
hsa_circ_0091872	FLNA
hsa_circ_0087630	HABP4
hsa_circ_0022851	PCNXL3
hsa_circ_0056766	ACVR1
hsa_circ_0022142	SLC43A1
hsa_circ_0035461	FAM63B
hsa_circ_0086302	UHRF2
hsa_circ_0021238	SBF2
hsa_circ_0080203	GRB10
hsa_circ_0042698	RPL23A
hsa_circ_0027031	RBMS2
hsa_circ_0010705	HSPG2
hsa_circ_0027737	NR2C1
hsa_circ_0069719	DCUN1D4
hsa_circ_0048223	MUM1
hsa_circ_0005023	STAG1
hsa_circ_0022797	SLC22A20
hsa_circ_0076305	PGC
hsa_circ_0030471	MYCBP2
hsa_circ_0073616	YTHDC2
hsa_circ_0059552	RIN2
hsa_circ_0052509	MBOAT2
hsa_circ_0049274	ATG4D
hsa_circ_0091133	ATP7A
hsa_circ_0017012	TARBP1
hsa_circ_0086127	PPP1R16A
hsa_circ_0003658	ZNF365
hsa_circ_0066930	STXBP5L
hsa_circ_0063240	TRIOBP
hsa_circ_0000730	PITPNA
hsa_circ_0053375	LCLAT1
hsa_circ_0083922	UNC5D
hsa_circ_0078393	ARID1B
hsa_circ_0065774	RBM6
hsa_circ_0026189	RACGAP1
hsa_circ_0014083	ANXA9
hsa_circ_0002919	AP3S1
hsa_circ_0045764	SRP68
hsa_circ_0038909	None
hsa_circ_0082119	SND1
hsa_circ_0024943	KDM5A
hsa_circ_0003061	BLVRB
hsa_circ_0052711	NBAS
hsa_circ_0026559	SOAT2
hsa_circ_0030697	FARP1
hsa_circ_0039261	PHKB
hsa_circ_0004941	MDN1
hsa_circ_0000919	ATP13A1
hsa_circ_0043078	TMEM98
hsa_circ_0056658	ARHGAP15
hsa_circ_0067733	SIAH2
hsa_circ_0063110	MYH9
hsa_circ_0002592	DIAPH3
hsa_circ_0062871	MORC2
hsa_circ_0053122	TMEM214
hsa_circ_0035659	HERC1
hsa_circ_0073006	RGNEF
hsa_circ_0089743	EHMT1
hsa_circ_0061353	TCONS_l2_00017475
hsa_circ_0026832	ESYT1
hsa_circ_0017881	VIM
hsa_circ_0001335	RUVBL1
hsa_circ_0031143	ARHGEF40
hsa_circ_0040937	SPG7
hsa_circ_0089754	EHMT1
hsa_circ_0041752	SLC13A5
hsa_circ_0034427	THBS1
hsa_circ_0028846	GCN1L1
hsa_circ_0021997	CELF1
hsa_circ_0012432	EPS15
hsa_circ_0013208	FNBP1L
hsa_circ_0021418	SAAL1
hsa_circ_0065453	UQCRC1
hsa_circ_0054231	EML4
hsa_circ_0036768	SEMA4B
hsa_circ_0043448	CDK12
hsa_circ_0056630	LRP1B
hsa_circ_0056981	UBR3
hsa_circ_0009603	ENO1
hsa_circ_0067033	PDIA5
hsa_circ_0011468	ZNF362
hsa_circ_0077927	AHI1
hsa_circ_0061862	CBS
hsa_circ_0024935	KDM5A
hsa_circ_0028066	CORO1C
hsa_circ_0035360	UNC13C
hsa_circ_0079261	FBXL18
hsa_circ_0050134	UBA52
hsa_circ_0073820	LYRM7
hsa_circ_0053184	CAD
hsa_circ_0044359	SKAP1
hsa_circ_0011231	PUM1
hsa_circ_0007216	FBLN7
hsa_circ_0061527	TMEM50B
hsa_circ_0055053	GFPT1
hsa_circ_0041016	FANCA
hsa_circ_0045979	TBC1D16
hsa_circ_0035719	HERC1
hsa_circ_0025017	CACNA1C
hsa_circ_0015795	DENND1B
hsa_circ_0013346	SLC30A7
hsa_circ_0047954	LOC100505817
hsa_circ_0008022	OSBPL9
hsa_circ_0043530	RARA
hsa_circ_0063090	MYH9
hsa_circ_0040574	CDYL2
hsa_circ_0067052	MYLK
hsa_circ_0043160	MYO19
hsa_circ_0042988	SUZ12
hsa_circ_0010637	HSPG2
hsa_circ_0086346	KDM4C
hsa_circ_0021313	LOC100506305
hsa_circ_0040778	ZCCHC14
hsa_circ_0052017	POLD1
hsa_circ_0018954	POLR3A
hsa_circ_0050931	ECH1
hsa_circ_0083566	XPO7
hsa_circ_0086753	NUDT2
hsa_circ_0014338	DENND4B
hsa_circ_0072408	NNT
hsa_circ_0031674	RALGAPA1
hsa_circ_0084402	PRKDC
hsa_circ_0085539	PVT1
hsa_circ_0089887	PRPS2
hsa_circ_0077860	ENPP1
hsa_circ_0011705	GNL2
hsa_circ_0091393	IL13RA1
hsa_circ_0091838	FLNA
hsa_circ_0089677	COBRA1
hsa_circ_0044128	KIF18B
hsa_circ_0024660	SORL1
hsa_circ_0089380	VAV2
hsa_circ_0053287	FNDC4
hsa_circ_0009734	PGD
hsa_circ_0049366	SMARCA4
hsa_circ_0060825	RNF114
hsa_circ_0032373	MED6
hsa_circ_0072772	CDK7
hsa_circ_0070067	SEPT11
hsa_circ_0044315	KPNB1
hsa_circ_0070097	FRAS1
hsa_circ_0048900	C3
hsa_circ_0039547	FAM192A
hsa_circ_0091297	COL4A6
hsa_circ_0075264	ADAMTS2
hsa_circ_0074146	HSPA9
hsa_circ_0053219	CAD
hsa_circ_0036192	PKM2
hsa_circ_0075517	CDYL
hsa_circ_0033939	None
hsa_circ_0023550	C2CD3
hsa_circ_0089902	OFD1
hsa_circ_0026594	PFDN5
hsa_circ_0041625	RNF167
hsa_circ_0059548	SEC23B
hsa_circ_0055243	ALMS1
hsa_circ_0053064	HADHA
hsa_circ_0042341	SHMT1
hsa_circ_0040106	WWP2
hsa_circ_0069017	HTT
hsa_circ_0092336	MYH9
hsa_circ_0052362	SLC27A5
hsa_circ_0081315	TRRAP
hsa_circ_0069176	SLC2A9
hsa_circ_0089867	WWC3
hsa_circ_0071967	FAM105B
hsa_circ_0008962	ELL2
hsa_circ_0069468	RPL9
hsa_circ_0047711	SMAD4
hsa_circ_0039661	CNOT1
hsa_circ_0054980	ACTR2
hsa_circ_0038679	TNRC6A
hsa_circ_0081709	POLR2J2
hsa_circ_0083482	PSD3
hsa_circ_0077522	HACE1
hsa_circ_0075115	RNF44
hsa_circ_0019940	COL17A1
hsa_circ_0031345	REC8
hsa_circ_0002887	PCM1
hsa_circ_0039908	DUS2L
hsa_circ_0057812	BMPR2
hsa_circ_0040203	AARS
hsa_circ_0088638	SLC2A8
hsa_circ_0078655	RPS6KA2
hsa_circ_0039344	BRD7
hsa_circ_0007497	SUPT16H
hsa_circ_0053147	SLC5A6
hsa_circ_0084856	CPNE3
hsa_circ_0029471	EP400NL
hsa_circ_0010952	SEPN1
hsa_circ_0016927	PCNXL2
hsa_circ_0080974	GTPBP10
hsa_circ_0071568	SNX25
hsa_circ_0014672	RAB25
hsa_circ_0048872	C3
hsa_circ_0031061	RASA3
hsa_circ_0011982	YBX1
hsa_circ_0056109	ANAPC1
hsa_circ_0068471	RFC4
hsa_circ_0044706	MMD
hsa_circ_0016547	CAPN2
hsa_circ_0036965	CHD2
hsa_circ_0004829	HECTD1
hsa_circ_0026733	ITGA5
hsa_circ_0032462	SIPA1L1
hsa_circ_0040971	CHMP1A
hsa_circ_0009754	SRM
hsa_circ_0078133	UTRN
hsa_circ_0076024	ITPR3
hsa_circ_0030997	LAMP1
hsa_circ_0024836	FLI1
hsa_circ_0000353	BIRC3
hsa_circ_0074619	ANXA6
hsa_circ_0062962	DEPDC5
hsa_circ_0031209	DAD1
hsa_circ_0006442	CCT6P3
hsa_circ_0076349	UBR2
hsa_circ_0082777	AGK
hsa_circ_0050885	EIF3K
hsa_circ_0091850	FLNA
hsa_circ_0048617	UBXN6
hsa_circ_0080175	TNS3
hsa_circ_0059255	UBOX5
hsa_circ_0055738	ANKRD36
hsa_circ_0032146	KCNH5
hsa_circ_0026782	ITGA7
hsa_circ_0006794	FBXO11
hsa_circ_0002837	TGFB1
hsa_circ_0032696	TTLL5
hsa_circ_0010602	HSPG2
hsa_circ_0023785	ALG8
hsa_circ_0075109	HIGD2A
hsa_circ_0091634	MAP7D3
hsa_circ_0004344	USP7
hsa_circ_0057568	STK17B
hsa_circ_0054670	FANCL
hsa_circ_0002588	RBMS2
hsa_circ_0002407	PHF2
hsa_circ_0009580	RERE
hsa_circ_0090274	USP9X
hsa_circ_0011263	SNRNP40
hsa_circ_0058677	PTMA
hsa_circ_0012919	GNG12
hsa_circ_0032613	KIAA0317
hsa_circ_0031381	RABGGTA
hsa_circ_0017834	FAM171A1
hsa_circ_0026278	DIP2B
hsa_circ_0045146	MRC2
hsa_circ_0081266	TRRAP
hsa_circ_0056577	R3HDM1
hsa_circ_0011851	PABPC4
hsa_circ_0062898	DRG1
hsa_circ_0080745	POR
hsa_circ_0053674	BIRC6
hsa_circ_0082257	TNPO3
hsa_circ_0032723	TTLL5
hsa_circ_0081588	PLOD3
hsa_circ_0021872	ATG13
hsa_circ_0088724	LOC100289019
hsa_circ_0061682	TTC3
hsa_circ_0021104	ST5
hsa_circ_0083375	DLC1
hsa_circ_0028351	TRAFD1
hsa_circ_0022034	MTCH2
hsa_circ_0066892	GSK3B
hsa_circ_0087797	NIPSNAP3A
hsa_circ_0058731	GIGYF2
hsa_circ_0035479	RNF111
hsa_circ_0086795	STOML2
hsa_circ_0007461	AGPAT6
hsa_circ_0032416	PCNX
hsa_circ_0068636	PCYT1A
hsa_circ_0024562	NLRX1
hsa_circ_0065617	USP4
hsa_circ_0049762	DNAJB1
hsa_circ_0007226	CARS2
hsa_circ_0042019	PFAS
hsa_circ_0077024	COL12A1
hsa_circ_0003840	GGA2
hsa_circ_0057613	ANKRD44
hsa_circ_0057705	KCTD18
hsa_circ_0020412	DOCK1
hsa_circ_0091562	MST4
hsa_circ_0007012	CKAP5
hsa_circ_0025102	VWF
hsa_circ_0012177	RPS8
hsa_circ_0029902	ALOX5AP
hsa_circ_0058835	COL6A3
hsa_circ_0066277	SLMAP
hsa_circ_0079812	BBS9
hsa_circ_0037752	GLYR1
hsa_circ_0035625	RPS27L
hsa_circ_0063552	PHF5A
hsa_circ_0073126	JMY
hsa_circ_0046212	ARL16
hsa_circ_0062362	PI4KA
hsa_circ_0086298	UHRF2
hsa_circ_0015457	FAM163A
hsa_circ_0046334	FASN
hsa_circ_0003315	GLG1
hsa_circ_0065181	KIF9
hsa_circ_0069856	POLR2B
hsa_circ_0025820	DENND5B
hsa_circ_0067182	MGLL
hsa_circ_0016715	ITPKB
hsa_circ_0092037	RPL10
hsa_circ_0038478	UQCRC2
hsa_circ_0007117	SS18
hsa_circ_0000418	CCT2
hsa_circ_0018250	RET
hsa_circ_0059935	ITCH
hsa_circ_0069286	SLIT2
hsa_circ_0085543	PVT1
hsa_circ_0090831	FGD1
hsa_circ_0052755	NBAS
hsa_circ_0060458	MYBL2
hsa_circ_0039305	LONP2
hsa_circ_0082772	AGK
hsa_circ_0042306	FLII
hsa_circ_0065752	UBA7
hsa_circ_0056085	ANAPC1
hsa_circ_0090556	GRIPAP1
hsa_circ_0039482	NUP93
hsa_circ_0005326	CDK4
hsa_circ_0011582	C1orf216
hsa_circ_0064707	GLB1
